comment_num,name,service,level,taste,avg_cost,food_type,location,environment,url
0,本湖,0,该商户暂无星级,0,0,日本菜,市中心区,0,http://www.dianping.com/shop/121477548
0,来来来大V聚餐,0,该商户暂无星级,0,0,日本菜,市中心区,0,http://www.dianping.com/shop/124299655
0,有料食场,0,该商户暂无星级,0,0,日本菜,市中心区,0,http://www.dianping.com/shop/124961474
16,堂本家洋食别馆 x CircleBar,8.0,四星商户,8.0,0,日本菜,市中心区,7.8,http://www.dianping.com/shop/99701589
640,味千拉面(中心城店),6.7,三星商户,6.9,￥45,日本菜,市中心区,6.8,http://www.dianping.com/shop/17622862
58,争鲜回转寿司(金中环店),7.1,准四星商户,7.0,￥49,日本菜,市中心区,7.1,http://www.dianping.com/shop/48159003
57,花丸乌冬面(连城新天地店),7.9,准四星商户,7.4,￥26,日本菜,市中心区,7.6,http://www.dianping.com/shop/103655183
276,禾绿回转寿司(COCOPark店),7.3,准四星商户,7.4,￥90,日本菜,市中心区,7.9,http://www.dianping.com/shop/57565705
50,Mr'Easy寿司(购物公园地铁站店),7.6,准四星商户,7.4,￥25,日本菜,市中心区,7.4,http://www.dianping.com/shop/20816801
26,姬岛生鲜(华强北店),7.5,准四星商户,7.4,￥73,日本菜,市中心区,7.3,http://www.dianping.com/shop/110872465
34,奔厨铁板烧,7.4,准四星商户,7.2,￥390,日本菜,市中心区,7.5,http://www.dianping.com/shop/77865987
7,禾绿回转寿司,6.6,三星商户,6.9,￥70,日本菜,市中心区,7.0,http://www.dianping.com/shop/50343405
12,鲑鱼工坊(星河购物中心店),7.2,准四星商户,7.6,0,日本菜,市中心区,7.2,http://www.dianping.com/shop/96224303
4,和民本格串烧旬鲜料理(星河购物中心店),7.2,准四星商户,7.3,0,日本菜,市中心区,7.4,http://www.dianping.com/shop/99674332
91,侎禾料理,6.9,三星商户,6.9,￥33,日本菜,市中心区,6.9,http://www.dianping.com/shop/14735438
4,兰亭日式料理,7.3,准四星商户,7.5,0,日本菜,市中心区,7.3,http://www.dianping.com/shop/68008456
36,一善寿司,7.0,准四星商户,6.9,￥20,日本菜,市中心区,6.9,http://www.dianping.com/shop/57167112
2,外带寿司,7.2,准四星商户,7.2,0,日本菜,市中心区,7.2,http://www.dianping.com/shop/77876059
966,元气寿司(皇庭广场店),7.9,四星商户,8.0,￥112,日本菜,市中心区,8.2,http://www.dianping.com/shop/18333679
561,鬼北居酒屋,8.3,四星商户,8.0,￥334,日本菜,市中心区,8.7,http://www.dianping.com/shop/24077100
101,八妹寿司外送店,9.0,五星商户,9.1,￥72,日本菜,市中心区,8.7,http://www.dianping.com/shop/96440035
513,CoCo壱番屋(连城新天地店),8.0,四星商户,8.3,￥51,日本菜,市中心区,8.0,http://www.dianping.com/shop/19120715
1233,元气寿司(COCO PARK店),7.5,准四星商户,7.8,￥109,日本菜,市中心区,7.7,http://www.dianping.com/shop/5490100
1159,岩盐日本料理(嘉里店),8.5,准五星商户,8.4,￥628,日本菜,市中心区,8.9,http://www.dianping.com/shop/12598928
431,稻亭日本料理(购物公园店),8.6,四星商户,7.9,￥212,日本菜,市中心区,8.3,http://www.dianping.com/shop/18217764
50,吉野家(凤凰大厦店),7.1,准四星商户,7.0,￥36,日本菜,市中心区,7.1,http://www.dianping.com/shop/65321497
48,鲑宿(福田深业上城店),7.1,准四星商户,6.9,￥66,日本菜,市中心区,7.0,http://www.dianping.com/shop/95391450
904,博多一幸舍(皇庭广场店),8.1,准四星商户,7.2,￥61,日本菜,市中心区,7.6,http://www.dianping.com/shop/70828958
17,尚寿司(福田地铁站店),7.7,准四星商户,7.7,￥21,日本菜,市中心区,7.6,http://www.dianping.com/shop/112485567
816,豚王(平安金融中心店),7.0,准四星商户,6.9,￥86,日本菜,市中心区,7.4,http://www.dianping.com/shop/92769714
924,禾绿回转寿司(中心书城店),7.5,准四星商户,7.7,￥102,日本菜,市中心区,7.7,http://www.dianping.com/shop/2376484
597,鉄板昭AKIRA(中心城店),7.6,准四星商户,7.3,￥190,自助餐,市中心区,7.6,http://www.dianping.com/shop/97525337
862,禾绿回转寿司(中心城店),7.6,四星商户,7.6,￥92,日本菜,市中心区,7.7,http://www.dianping.com/shop/2180989
1437,KYOKU日本料理(嘉里建设广场店),9.1,五星商户,8.9,￥396,日本菜,市中心区,9.1,http://www.dianping.com/shop/21738530
873,爆丼,7.6,准四星商户,7.7,￥95,日本菜,市中心区,7.4,http://www.dianping.com/shop/93485821
126,喜之次日本料理·铁板烧,8.4,准四星商户,7.2,￥237,日本菜,市中心区,8.0,http://www.dianping.com/shop/97133338
2569,极上萬膳日本料理(中心城店),7.4,准四星商户,7.8,￥299,日本菜,市中心区,8.2,http://www.dianping.com/shop/45848168
138,吉野家(连城店),7.6,准四星商户,7.3,￥30,日本菜,市中心区,7.4,http://www.dianping.com/shop/56882388
251,备长屋串烧自家料理,9.1,五星商户,9.1,￥403,日本菜,市中心区,9.1,http://www.dianping.com/shop/90529391
287,海之恋寿司(卓越店),8.5,准五星商户,8.6,￥69,日本菜,市中心区,8.2,http://www.dianping.com/shop/94045872
11,和牛食验室WagyuLab,8.3,四星商户,8.3,￥1983,日本菜,市中心区,8.3,http://www.dianping.com/shop/121865736
273,丸龟制面(连城天地店),7.4,准四星商户,7.4,￥34,日本菜,市中心区,7.4,http://www.dianping.com/shop/93716380
2077,雪月花炭烧酒场(购物公园店),8.0,四星商户,8.3,￥155,日本菜,市中心区,8.2,http://www.dianping.com/shop/58451496
2051,大渔铁板烧(中心城店),7.4,准四星商户,7.7,￥211,日本菜,市中心区,7.7,http://www.dianping.com/shop/3095137
3005,食冶日本料理铁板烧(福田石厦店),8.5,准五星商户,8.6,￥342,日本菜,石厦,8.3,http://www.dianping.com/shop/22796195
249,惠比寿横丁,8.5,四星商户,7.6,￥151,日本菜,市中心区,9.0,http://www.dianping.com/shop/107789815
107,FM调频の潘趣酒屋,8.4,四星商户,8.8,￥155,日本菜,市中心区,8.6,http://www.dianping.com/shop/102655312
36,八寸料亭,8.9,四星商户,7.9,￥535,日本菜,市中心区,8.3,http://www.dianping.com/shop/101926097
663,事外英式居酒屋(中心城店),8.2,四星商户,8.2,￥176,日本菜,市中心区,8.8,http://www.dianping.com/shop/59210101
1244,旬野菜和牛火锅·放题(卓悦intown店),9.0,准五星商户,8.5,￥168,日本菜,市中心区,9.0,http://www.dianping.com/shop/97429212
423,鮨文Sushi Man,9.3,五星商户,9.2,￥1533,日本菜,市中心区,9.2,http://www.dianping.com/shop/98351787
7959,堂本家洋食别馆(中心城店),8.6,准五星商户,8.3,￥87,日本菜,市中心区,8.8,http://www.dianping.com/shop/6136909
220,皇庭大江户日本料理,8.4,四星商户,7.7,￥356,日本菜,市中心区,8.8,http://www.dianping.com/shop/45347776
110,虎喰烧肉.酒场(中心城店),9.0,五星商户,9.1,￥329,日本菜,市中心区,9.1,http://www.dianping.com/shop/110652619
1050,虎喰烧肉.酒场(购物公园店),9.1,五星商户,9.0,￥349,日本菜,市中心区,8.7,http://www.dianping.com/shop/76733775
63,賢一旬,9.1,五星商户,9.1,￥343,日本菜,市中心区,9.1,http://www.dianping.com/shop/110530043
140,鮨青嵐,9.3,五星商户,9.2,￥1783,日本菜,市中心区,9.3,http://www.dianping.com/shop/110532364
1392,小町号料理.酒场,8.8,准五星商户,8.5,￥307,日本菜,市中心区,8.7,http://www.dianping.com/shop/27306508
180,大阪烧肉BAKA一代(福田店),9.0,准五星商户,8.8,￥253,日本菜,市中心区,8.2,http://www.dianping.com/shop/103588831
208,塞罕哈里哈烤肉,9.2,五星商户,9.0,￥172,日本菜,市中心区,9.0,http://www.dianping.com/shop/98606218
234,荞上人活鰻日本料理(购物公园店),8.6,四星商户,8.0,￥209,日本菜,市中心区,8.7,http://www.dianping.com/shop/98163371
42,惠比寿·寿司德,8.1,四星商户,7.7,￥575,日本菜,市中心区,8.1,http://www.dianping.com/shop/98466116
157,田舍家,8.5,准五星商户,8.3,￥1797,日本菜,市中心区,9.2,http://www.dianping.com/shop/92760103
1039,龙界炉端烧活海鲜酒场,8.9,准五星商户,8.7,￥330,日本菜,市中心区,8.9,http://www.dianping.com/shop/78001810
224,味泉炉端烧(卓悦intown店),9.1,五星商户,9.1,￥440,日本菜,市中心区,9.2,http://www.dianping.com/shop/100086791
120,赤賦燒肉酒場,9.2,五星商户,9.1,￥360,日本菜,市中心区,9.0,http://www.dianping.com/shop/108429487
765,青筠焱烧肉·酒巷(福田店),9.2,五星商户,9.0,￥286,日本菜,上沙/下沙,9.0,http://www.dianping.com/shop/72341804
297,西村日本料理(福田店),8.9,准五星商户,8.5,￥761,日本菜,市中心区,8.7,http://www.dianping.com/shop/3352339
692,渡来料亭,9.0,准五星商户,8.3,￥603,日本菜,市中心区,9.3,http://www.dianping.com/shop/73607708
194,瀛锅,8.9,五星商户,9.1,￥671,日本菜,市中心区,9.1,http://www.dianping.com/shop/107760955
124,盛丼日式料理(皇庭广场店),7.3,准四星商户,7.0,￥89,日本菜,市中心区,7.5,http://www.dianping.com/shop/98002428
79,佰炙烧肉,9.2,五星商户,9.0,￥335,日本菜,市中心区,9.1,http://www.dianping.com/shop/110106833
108,花菊日本料理(福田中洲店),8.9,准五星商户,8.8,￥763,日本菜,市中心区,8.6,http://www.dianping.com/shop/95918774
519,寿司大(福田店),9.0,准五星商户,8.7,￥466,日本菜,市中心区,9.1,http://www.dianping.com/shop/90408534
404,凤凰日本料理,6.9,准四星商户,6.9,￥176,日本菜,市中心区,7.1,http://www.dianping.com/shop/2385286
621,月前居酒屋,8.8,准五星商户,8.1,￥322,日本菜,市中心区,8.7,http://www.dianping.com/shop/70608194
930,吉兆火炙寿司●网红寿司店(大中华店),6.9,准四星商户,7.4,￥97,日本菜,市中心区,7.4,http://www.dianping.com/shop/67362473
